,ACTION,ACTION,ACTION,ACTION,ACTION,ACTION,ACTION,ACTION,ACTION,ACTION,ACTION,ACTION,ACTION,ACTION,ACTION,ACTION,ACTION,ACTION,ACTION,ACTION,ACTION,ACTION,ACTION,ACTION,ACTION,GOTO,GOTO,GOTO,GOTO,GOTO,GOTO,GOTO,GOTO,GOTO,GOTO,GOTO,GOTO,GOTO,GOTO,GOTO,GOTO,GOTO,GOTO,GOTO,GOTO
,$,ab_p,entao,escreva,fc_p,fim,fimrepita,fimse,id,inicio,inteiro,leia,lit,literal,num,opm,opr,pt_v,rcb,real,repita,se,varfim,varincio,vir,S',P,V,LV,D,L,TIPO,A,ES,ARG,CMD,LD,OPRD,COND,CAB,EXP_R,CP,R,CABR,CPR
25,['r11'],['r11'],['r11'],['r11'],['r11'],['r11'],['r11'],['r11'],['r11'],['r11'],['r11'],['r11'],['r11'],['r11'],['r11'],['r11'],['r11'],['r11'],['r11'],['r11'],['r11'],['r11'],['r11'],['r11'],['r11'],ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
26,['r17'],['r17'],['r17'],['r17'],['r17'],['r17'],['r17'],['r17'],['r17'],['r17'],['r17'],['r17'],['r17'],['r17'],['r17'],['r17'],['r17'],['r17'],['r17'],['r17'],['r17'],['r17'],['r17'],['r17'],['r17'],ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
27,['r23'],['r23'],['r23'],['r23'],['r23'],['r23'],['r23'],['r23'],['r23'],['r23'],['r23'],['r23'],['r23'],['r23'],['r23'],['r23'],['r23'],['r23'],['r23'],['r23'],['r23'],['r23'],['r23'],['r23'],['r23'],ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
28,['r31'],['r31'],['r31'],['r31'],['r31'],['r31'],['r31'],['r31'],['r31'],['r31'],['r31'],['r31'],['r31'],['r31'],['r31'],['r31'],['r31'],['r31'],['r31'],['r31'],['r31'],['r31'],['r31'],['r31'],['r31'],ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
29,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,['s51'],ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
30,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,['s52'],ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
31,['r14'],['r14'],['r14'],['r14'],['r14'],['r14'],['r14'],['r14'],['r14'],['r14'],['r14'],['r14'],['r14'],['r14'],['r14'],['r14'],['r14'],['r14'],['r14'],['r14'],['r14'],['r14'],['r14'],['r14'],['r14'],ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
32,['r15'],['r15'],['r15'],['r15'],['r15'],['r15'],['r15'],['r15'],['r15'],['r15'],['r15'],['r15'],['r15'],['r15'],['r15'],['r15'],['r15'],['r15'],['r15'],['r15'],['r15'],['r15'],['r15'],['r15'],['r15'],ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
33,['r16'],['r16'],['r16'],['r16'],['r16'],['r16'],['r16'],['r16'],['r16'],['r16'],['r16'],['r16'],['r16'],['r16'],['r16'],['r16'],['r16'],['r16'],['r16'],['r16'],['r16'],['r16'],['r16'],['r16'],['r16'],ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
34,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,['s55'],ERR,ERR,ERR,ERR,ERR,['s56'],ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,['53'],['54'],ERR,ERR,ERR,ERR,ERR,ERR,ERR
